разбойник
быт
фигурка
чистота
танцор
копыто
утверждение
конкурс
толчок
берёза
береза
батюшка
змей
салон
бак
сантиметр
секретарша
печаль
грамм       gram
пропасть
пилот
брюхо
семя        semen, seed
полоска
рабочий
предположение
капитализм
покупатель
телега
градус
осложнение
комар
флаг        flag
кастрюля
известие
всадник
мостовая
испуг
заросль
барьер
дырка
матушка
бытие
икра
историк
коза
дымок
визг
офис        office
повар
касса
скатерть
негодяй
кампания
графа
крыса
освобождение
прогноз
съёмка
съемка
икона
местность
провал
малость
негр
дровосек
удовлетворение
ритм
прелесть
введение
голубок
мороженое
презрение
округ
медсестра
переводчик
японец
мелодия
вал
формирование
горшок
грань
курица
прозвище
темп
посадка
обрыв
нитка
плакат
банда
инфекция
убеждение
плоть
стая
уничтожение
обочина
усадьба
худо
траншея
табуретка
пепел
пробка
проведение
провинция
прощение
порция
хохот
сорт
командующий
рассуждение
фонарик
дрянь
понедельник
мундир
Польша
падаль
глина
почка
профессионал    professional
катер       motor boat
шарик       (dim) circle
конфета
виски       whiskey, scotch
сетка
бассейн     swimming pool
заря        dawn, daybreak | dusk, nightfall, twilight
метод       method
человечек
протяжение
матка       womb, uterus
инстинкт    instinct
красавец    handsome man
минутка
правитель
пяток
изучение
пехота
заряд
ребро       rib
сустав
хребет
пластинка
мотив
заслуга
возбуждение
малый
обломок
будка
кустарник
диплом
пена
восстановление
молитва
отвращение
вооружение
пазуха
религия
кличка
указ
прилавок
местечко
обещание
веранда
стон
равновесие
скука
торжество
прокуратура
чудак
видимость
паренек
семейство
царство
устав
погон
мудрость
фонтан      fountain
битва
жилец
горечь
паника
возникновение
публикация
расследование
оборудование
пульт
язва
рок
груша
гроза
кислород
шахта       mine
удав
выпуск
хирург
символ
магия       magic
развод
неправда
перестройка
заведующий
инициатива
КПСС
единица
регион
защитник
сектор
санитар
ссылка
госпожа
роща
грек
усмешка
восприятие
потомок
номенклатура
тропа
казнь
сало
сочувствие
ветерок
Питер
светило
мёд
мед
восхищение
мисс
Кавказ
ноздря
сочетание
нагрузка
группировка
перец
дрожь
обсуждение
постановление
заметка
принцесса
самоубийство
нежность
сейф
миф         myth
правление
валюта
блин
выезд
складка
предатель
купец
психика
живопись
кровотечение
демократ
трещина
мораль
факультет
аллея
поляна
валенок
солдатик
паровоз
интернет	internet
алкоголь	alcohol
измерение
актриса		actress
размах
призрак		ghost, specter, phantom, appariton
математика	matchematics
собор		cathedral
сыр			cheese
соединение
самовар
канифоль
листва
учёба
кукла
предчувствие
обморок
развалина
терапия
позор
конструкция
концепция
особняк
весть
бабочка		butterfly
изделие
студия
видение
слюна
сложность
землянин
строение
скрипка
бас
песенка
сани
редкость
федерация
диагноз
чудовище
премьера
букет
кредит
эшелон		echelon
староста
нетерпение
кодекс
копьё
копье
матч
зажигалка
акцент
вероятность
призыв
щенок
тигр
претензия
распространение
обувь
аргумент	argument
полотно
пропуск
смола
стоянка
овощ
микрофон
стадия
лёгкость
молот
верхушка
око
национальность
платформа	platform
верста		versta
подружка
практик
взятка      bribery
гусеница
объятие
отставка
рельс		rail
рыбка		(dim) fish
игрок		gambler
шорох
новичок		tyro, beginner, newbie, rookie
парнишка
скотина
поручение
премьер
рывок
сопка
торговец	trader, vendero, merchant
эфир		ether
приезжий
строитель
слушатель
Африка		Africa
тумбочка
